anger	disgust	fear	happiness	sadness	surprise	sub	feature_space
0.5880676104940812	0.33838374565850216	0.3328809816309817	0.508578463864178	0.27705100609267275	0.3781601646918548	01	vertexPCA_type-static
0.4323578623690606	0.2740855688027819	0.3997644287396938	0.4465385235332044	0.40940568022440393	0.3217243879892897	02	vertexPCA_type-static
0.3481191360947695	0.34187505096596005	0.3833002694556604	0.49513750801587014	0.33790710774668	0.37396288868552735	03	vertexPCA_type-static
0.3438008643117001	0.35904578074118304	0.25608125277936594	0.47921709519436784	0.32503999716749243	0.28778983775911887	04	vertexPCA_type-static
0.33447065648558194	0.4474963120712516	0.2527974354565417	0.4600700511227592	0.3698610891384978	0.31116335229238457	05	vertexPCA_type-static
0.47802967217037573	0.4347630718954248	0.36559576719576714	0.42543609211833516	0.4556329338938035	0.4060237938590429	06	vertexPCA_type-static
0.41694993341251846	0.31798159876977605	0.3665538654624272	0.5469126846806829	0.28660718236584426	0.3785082972582973	07	vertexPCA_type-static
0.4681072084481176	0.3958275249990706	0.3007668665607939	0.46497924597495244	0.4262365314996893	0.3687032688206873	08	vertexPCA_type-static
0.5166378388665916	0.19988805806987625	0.39485242613295896	0.4162772870693663	0.3335398743250577	0.34666684247429574	09	vertexPCA_type-static
0.27171964456069586	0.2400721564038807	0.2809002218926366	0.4791965105601469	0.4186703406645145	0.2813741042001911	10	vertexPCA_type-static
0.5125438126492979	0.3886787679595897	0.34724775326797386	0.4251647199760407	0.5399774774774776	0.32731625258799174	11	vertexPCA_type-static
0.5047442623758414	0.21244372984803608	0.37191746938470727	0.40446504147621465	0.4711398732619664	0.3114913884364494	12	vertexPCA_type-static
0.558545086546985	0.2952553144860837	0.3822287199480182	0.6392213233102318	0.46839977232134095	0.23785151686937403	13	vertexPCA_type-static
0.8005340453938584	0.6856060606060607	0.617690253671562	0.8123754789272029	0.5104234001292824	0.723583201625649	01	vertexPCA_type-dynamic
0.763631665087432	0.5702459016393442	0.6222293607452618	0.8357978723404256	0.7594670406732116	0.6993338008415149	02	vertexPCA_type-dynamic
0.5711156803146791	0.6878026843780268	0.7104394208788416	0.8288503435562259	0.640151515151515	0.7733918128654971	03	vertexPCA_type-dynamic
0.539719396530542	0.5391465973362525	0.46194968553459115	0.6781818181818183	0.5560044359949302	0.5418629257969829	04	vertexPCA_type-dynamic
0.7042659117532213	0.6536935704514364	0.6897285484242005	0.9068367346938775	0.7704335064348611	0.6227272727272727	05	vertexPCA_type-dynamic
0.6568350168350169	0.6693624003750587	0.5584002677376171	0.7441390780928244	0.6388888888888888	0.6752606255012029	06	vertexPCA_type-dynamic
0.5564413265306122	0.5638528138528138	0.6452241715399609	0.7558201058201056	0.5194101508916323	0.5162085062240663	07	vertexPCA_type-dynamic
0.7176136363636364	0.6879837334382789	0.6246779751748135	0.791640873971158	0.6810012836970475	0.5605658709106985	08	vertexPCA_type-dynamic
0.7034574468085106	0.596916533758639	0.6443381180223287	0.7387739164388911	0.6737040133779264	0.689117769454848	09	vertexPCA_type-dynamic
0.6338935846368082	0.5020069494368561	0.5240575396825397	0.8621717024515042	0.6566061253561253	0.6714426877470354	10	vertexPCA_type-dynamic
0.6443713450292397	0.49699286442405693	0.5138552596179714	0.8298132843587389	0.7090634735202492	0.5021198830409356	11	vertexPCA_type-dynamic
0.7699891067538127	0.42482817869415807	0.5451652704721085	0.8892983264240749	0.7518072289156627	0.713888888888889	12	vertexPCA_type-dynamic
0.794753086419753	0.6612903225806451	0.6800542580797359	0.8304843304843306	0.6667786738351255	0.6933621933621932	13	vertexPCA_type-dynamic
0.8005340453938584	0.6856060606060607	0.617690253671562	0.8123754789272029	0.5104234001292824	0.723583201625649	01	vertexPCA_type-static+vertexPCA_type-dynamic
0.763631665087432	0.5702459016393442	0.6222293607452618	0.8357978723404256	0.7594670406732116	0.6993338008415149	02	vertexPCA_type-static+vertexPCA_type-dynamic
0.5711156803146791	0.6878026843780268	0.7104394208788416	0.8288503435562259	0.640151515151515	0.7733918128654971	03	vertexPCA_type-static+vertexPCA_type-dynamic
0.539719396530542	0.5391465973362525	0.46194968553459115	0.6781818181818183	0.5560044359949302	0.5418629257969829	04	vertexPCA_type-static+vertexPCA_type-dynamic
0.7042659117532213	0.6536935704514364	0.6897285484242005	0.9068367346938775	0.7704335064348611	0.6227272727272727	05	vertexPCA_type-static+vertexPCA_type-dynamic
0.6568350168350169	0.6693624003750587	0.5584002677376171	0.7441390780928244	0.6388888888888888	0.6752606255012029	06	vertexPCA_type-static+vertexPCA_type-dynamic
0.5564413265306122	0.5638528138528138	0.6452241715399609	0.7558201058201056	0.5194101508916323	0.5162085062240663	07	vertexPCA_type-static+vertexPCA_type-dynamic
0.7176136363636364	0.6879837334382789	0.6246779751748135	0.791640873971158	0.6810012836970475	0.5605658709106985	08	vertexPCA_type-static+vertexPCA_type-dynamic
0.7034574468085106	0.596916533758639	0.6443381180223287	0.7387739164388911	0.6737040133779264	0.689117769454848	09	vertexPCA_type-static+vertexPCA_type-dynamic
0.6338935846368082	0.5020069494368561	0.5240575396825397	0.8621717024515042	0.6566061253561253	0.6714426877470354	10	vertexPCA_type-static+vertexPCA_type-dynamic
0.6443713450292397	0.49699286442405693	0.5138552596179714	0.8298132843587389	0.7090634735202492	0.5021198830409356	11	vertexPCA_type-static+vertexPCA_type-dynamic
0.7699891067538127	0.42482817869415807	0.5451652704721085	0.8892983264240749	0.7518072289156627	0.713888888888889	12	vertexPCA_type-static+vertexPCA_type-dynamic
0.794753086419753	0.6612903225806451	0.6800542580797359	0.8304843304843306	0.6667786738351255	0.6933621933621932	13	vertexPCA_type-static+vertexPCA_type-dynamic
